State,Crime_Type,Year,Cases
Andaman & Nicobar Islands,Burglary,2001,57
Andaman & Nicobar Islands,Dacoity,2001,7
Andaman & Nicobar Islands,Dowry Deaths,2001,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2001,33
Andaman & Nicobar Islands,Murder,2001,10
Andaman & Nicobar Islands,Rape,2001,0
Andaman & Nicobar Islands,Riots,2001,6
Andaman & Nicobar Islands,Robbery,2001,0
Andaman & Nicobar Islands,Theft,2001,600
Andaman & Nicobar Islands,Burglary,2002,27
Andaman & Nicobar Islands,Dacoity,2002,5
Andaman & Nicobar Islands,Dowry Deaths,2002,13
Andaman & Nicobar Islands,Kidnapping & Abduction,2002,5
Andaman & Nicobar Islands,Murder,2002,0
Andaman & Nicobar Islands,Rape,2002,0
Andaman & Nicobar Islands,Riots,2002,23
Andaman & Nicobar Islands,Robbery,2002,0
Andaman & Nicobar Islands,Theft,2002,315
Andaman & Nicobar Islands,Burglary,2003,54
Andaman & Nicobar Islands,Dacoity,2003,0
Andaman & Nicobar Islands,Dowry Deaths,2003,1
Andaman & Nicobar Islands,Kidnapping & Abduction,2003,10
Andaman & Nicobar Islands,Murder,2003,0
Andaman & Nicobar Islands,Rape,2003,2
Andaman & Nicobar Islands,Riots,2003,0
Andaman & Nicobar Islands,Robbery,2003,24
Andaman & Nicobar Islands,Theft,2003,231
Andaman & Nicobar Islands,Burglary,2004,36
Andaman & Nicobar Islands,Dacoity,2004,0
Andaman & Nicobar Islands,Dowry Deaths,2004,4
Andaman & Nicobar Islands,Kidnapping & Abduction,2004,0
Andaman & Nicobar Islands,Murder,2004,0
Andaman & Nicobar Islands,Rape,2004,11
Andaman & Nicobar Islands,Riots,2004,2
Andaman & Nicobar Islands,Robbery,2004,0
Andaman & Nicobar Islands,Theft,2004,391
Andaman & Nicobar Islands,Burglary,2005,54
Andaman & Nicobar Islands,Dacoity,2005,4
Andaman & Nicobar Islands,Dowry Deaths,2005,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2005,3
Andaman & Nicobar Islands,Murder,2005,2
Andaman & Nicobar Islands,Rape,2005,0
Andaman & Nicobar Islands,Riots,2005,2
Andaman & Nicobar Islands,Robbery,2005,12
Andaman & Nicobar Islands,Theft,2005,372
Andaman & Nicobar Islands,Burglary,2006,42
Andaman & Nicobar Islands,Dacoity,2006,0
Andaman & Nicobar Islands,Dowry Deaths,2006,1
Andaman & Nicobar Islands,Kidnapping & Abduction,2006,23
Andaman & Nicobar Islands,Murder,2006,0
Andaman & Nicobar Islands,Rape,2006,0
Andaman & Nicobar Islands,Riots,2006,14
Andaman & Nicobar Islands,Robbery,2006,0
Andaman & Nicobar Islands,Theft,2006,276
Andaman & Nicobar Islands,Burglary,2007,63
Andaman & Nicobar Islands,Dacoity,2007,8
Andaman & Nicobar Islands,Dowry Deaths,2007,14
Andaman & Nicobar Islands,Kidnapping & Abduction,2007,16
Andaman & Nicobar Islands,Murder,2007,0
Andaman & Nicobar Islands,Rape,2007,21
Andaman & Nicobar Islands,Riots,2007,0
Andaman & Nicobar Islands,Robbery,2007,4
Andaman & Nicobar Islands,Theft,2007,206
Andaman & Nicobar Islands,Burglary,2008,52
Andaman & Nicobar Islands,Dacoity,2008,29
Andaman & Nicobar Islands,Dowry Deaths,2008,20
Andaman & Nicobar Islands,Kidnapping & Abduction,2008,58
Andaman & Nicobar Islands,Murder,2008,1
Andaman & Nicobar Islands,Rape,2008,14
Andaman & Nicobar Islands,Riots,2008,2
Andaman & Nicobar Islands,Robbery,2008,4
Andaman & Nicobar Islands,Theft,2008,587
Andaman & Nicobar Islands,Burglary,2009,41
Andaman & Nicobar Islands,Dacoity,2009,13
Andaman & Nicobar Islands,Dowry Deaths,2009,3
Andaman & Nicobar Islands,Kidnapping & Abduction,2009,18
Andaman & Nicobar Islands,Murder,2009,2
Andaman & Nicobar Islands,Rape,2009,9
Andaman & Nicobar Islands,Riots,2009,6
Andaman & Nicobar Islands,Robbery,2009,0
Andaman & Nicobar Islands,Theft,2009,394
Andaman & Nicobar Islands,Burglary,2010,94
Andaman & Nicobar Islands,Dacoity,2010,10
Andaman & Nicobar Islands,Dowry Deaths,2010,2
Andaman & Nicobar Islands,Kidnapping & Abduction,2010,38
Andaman & Nicobar Islands,Murder,2010,0
Andaman & Nicobar Islands,Rape,2010,0
Andaman & Nicobar Islands,Riots,2010,0
Andaman & Nicobar Islands,Robbery,2010,0
Andaman & Nicobar Islands,Theft,2010,226
Andaman & Nicobar Islands,Burglary,2011,51
Andaman & Nicobar Islands,Dacoity,2011,0
Andaman & Nicobar Islands,Dowry Deaths,2011,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2011,28
Andaman & Nicobar Islands,Murder,2011,2
Andaman & Nicobar Islands,Rape,2011,19
Andaman & Nicobar Islands,Riots,2011,21
Andaman & Nicobar Islands,Robbery,2011,0
Andaman & Nicobar Islands,Theft,2011,612
Andaman & Nicobar Islands,Burglary,2012,43
Andaman & Nicobar Islands,Dacoity,2012,0
Andaman & Nicobar Islands,Dowry Deaths,2012,9
Andaman & Nicobar Islands,Kidnapping & Abduction,2012,0
Andaman & Nicobar Islands,Murder,2012,0
Andaman & Nicobar Islands,Rape,2012,5
Andaman & Nicobar Islands,Riots,2012,2
Andaman & Nicobar Islands,Robbery,2012,0
Andaman & Nicobar Islands,Theft,2012,402
Andaman & Nicobar Islands,Burglary,2013,36
Andaman & Nicobar Islands,Dacoity,2013,3
Andaman & Nicobar Islands,Dowry Deaths,2013,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2013,43
Andaman & Nicobar Islands,Murder,2013,0
Andaman & Nicobar Islands,Rape,2013,0
Andaman & Nicobar Islands,Riots,2013,0
Andaman & Nicobar Islands,Robbery,2013,7
Andaman & Nicobar Islands,Theft,2013,364
Andaman & Nicobar Islands,Burglary,2014,75
Andaman & Nicobar Islands,Dacoity,2014,1
Andaman & Nicobar Islands,Dowry Deaths,2014,5
Andaman & Nicobar Islands,Kidnapping & Abduction,2014,6
Andaman & Nicobar Islands,Murder,2014,12
Andaman & Nicobar Islands,Rape,2014,14
Andaman & Nicobar Islands,Riots,2014,6
Andaman & Nicobar Islands,Robbery,2014,0
Andaman & Nicobar Islands,Theft,2014,276
Andaman & Nicobar Islands,Burglary,2015,66
Andaman & Nicobar Islands,Dacoity,2015,0
Andaman & Nicobar Islands,Dowry Deaths,2015,15
Andaman & Nicobar Islands,Kidnapping & Abduction,2015,0
Andaman & Nicobar Islands,Murder,2015,11
Andaman & Nicobar Islands,Rape,2015,0
Andaman & Nicobar Islands,Riots,2015,6
Andaman & Nicobar Islands,Robbery,2015,19
Andaman & Nicobar Islands,Theft,2015,414
Andaman & Nicobar Islands,Burglary,2016,87
Andaman & Nicobar Islands,Dacoity,2016,18
Andaman & Nicobar Islands,Dowry Deaths,2016,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2016,0
Andaman & Nicobar Islands,Murder,2016,0
Andaman & Nicobar Islands,Rape,2016,0
Andaman & Nicobar Islands,Riots,2016,9
Andaman & Nicobar Islands,Robbery,2016,0
Andaman & Nicobar Islands,Theft,2016,333
Andaman & Nicobar Islands,Burglary,2017,20
Andaman & Nicobar Islands,Dacoity,2017,0
Andaman & Nicobar Islands,Dowry Deaths,2017,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2017,17
Andaman & Nicobar Islands,Murder,2017,20
Andaman & Nicobar Islands,Rape,2017,15
Andaman & Nicobar Islands,Riots,2017,5
Andaman & Nicobar Islands,Robbery,2017,7
Andaman & Nicobar Islands,Theft,2017,589
Andaman & Nicobar Islands,Burglary,2018,97
Andaman & Nicobar Islands,Dacoity,2018,0
Andaman & Nicobar Islands,Dowry Deaths,2018,5
Andaman & Nicobar Islands,Kidnapping & Abduction,2018,17
Andaman & Nicobar Islands,Murder,2018,8
Andaman & Nicobar Islands,Rape,2018,6
Andaman & Nicobar Islands,Riots,2018,14
Andaman & Nicobar Islands,Robbery,2018,5
Andaman & Nicobar Islands,Theft,2018,574
Andaman & Nicobar Islands,Burglary,2019,73
Andaman & Nicobar Islands,Dacoity,2019,0
Andaman & Nicobar Islands,Dowry Deaths,2019,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2019,32
Andaman & Nicobar Islands,Murder,2019,34
Andaman & Nicobar Islands,Rape,2019,0
Andaman & Nicobar Islands,Riots,2019,11
Andaman & Nicobar Islands,Robbery,2019,24
Andaman & Nicobar Islands,Theft,2019,658
Andaman & Nicobar Islands,Burglary,2020,47
Andaman & Nicobar Islands,Dacoity,2020,1
Andaman & Nicobar Islands,Dowry Deaths,2020,0
Andaman & Nicobar Islands,Kidnapping & Abduction,2020,0
Andaman & Nicobar Islands,Murder,2020,6
Andaman & Nicobar Islands,Rape,2020,0
Andaman & Nicobar Islands,Riots,2020,9
Andaman & Nicobar Islands,Robbery,2020,11
Andaman & Nicobar Islands,Theft,2020,181
Andaman & Nicobar Islands,Burglary,2021,38
Andaman & Nicobar Islands,Dacoity,2021,8
Andaman & Nicobar Islands,Dowry Deaths,2021,10
Andaman & Nicobar Islands,Kidnapping & Abduction,2021,0
Andaman & Nicobar Islands,Murder,2021,11
Andaman & Nicobar Islands,Rape,2021,11
Andaman & Nicobar Islands,Riots,2021,0
Andaman & Nicobar Islands,Robbery,2021,5
Andaman & Nicobar Islands,Theft,2021,285
Andaman & Nicobar Islands,Burglary,2022,13
Andaman & Nicobar Islands,Dacoity,2022,0
Andaman & Nicobar Islands,Dowry Deaths,2022,10
Andaman & Nicobar Islands,Kidnapping & Abduction,2022,12
Andaman & Nicobar Islands,Murder,2022,0
Andaman & Nicobar Islands,Rape,2022,14
Andaman & Nicobar Islands,Riots,2022,4
Andaman & Nicobar Islands,Robbery,2022,0
Andaman & Nicobar Islands,Theft,2022,109
Andhra Pradesh,Burglary,2001,3428
Andhra Pradesh,Dacoity,2001,6
Andhra Pradesh,Dowry Deaths,2001,341
Andhra Pradesh,Kidnapping & Abduction,2001,4660
Andhra Pradesh,Murder,2001,1306
Andhra Pradesh,Rape,2001,337
Andhra Pradesh,Riots,2001,255
Andhra Pradesh,Robbery,2001,956
Andhra Pradesh,Theft,2001,27483
Andhra Pradesh,Burglary,2002,4019
